,Suburb/Town Name,Postcode,Incidents Recorded,population,lat,lng,Number of Hospitals,Number of Cinemas,Distance to CBD
312,Brenanah,3517,9,28.0,-36.56635,143.70736000000005,0,0,177.62985936483506
313,Brewster,3352,21,51.0,-37.49623,143.53005,0,0,130.8931288325843
314,Briagolong,3860,302,1081.0,-37.80907,147.10653,0,0,188.3644150074101
315,Briar Hill,3088,829,3152.0,-37.70608,145.12166000000005,0,0,18.329073699822306
316,Bridge Creek,3723,19,97.0,-36.90398,146.10399999999996,0,0,142.77423235805153
317,Bridgewater,3516,94,142.0,-36.63745,143.97333,0,0,157.2721446246648
318,Bridgewater North,3516,3,57.0,-36.54937,144.00288999999995,0,0,164.15357014972017
319,Bridgewater On Loddon,3516,214,326.0,-36.60415,143.94082,0,0,161.961804964065
320,Bright,3741,712,2406.0,-36.69513,147.03141000000005,0,1,221.28307705441807
321,Brighton,3186,9618,23253.0,-37.90784,144.99604,3,2,11.022123966029575
322,Brighton East,3187,4510,15998.0,-37.91641,145.01953,0,0,12.613427071142794
323,Brim,3391,97,171.0,-36.05921,142.44053,0,0,297.02517630839975
324,Brimboal,3312,1,4.0,-37.39461,141.40755,0,0,316.55905925537445
325,Brimin,3685,36,48.0,-36.05207,146.24985,0,0,226.7302850238233
326,Brimpaen,3401,23,79.0,-37.05626,142.19519,0,0,258.3678407833894
327,Bringalbert,3319,4,12.0,-36.84146,141.18238,0,0,351.19545611066087
328,Brit Brit,3315,10,39.0,-37.40784,141.74067,0,0,287.30905628041234
329,Broadford,3658,2406,4319.0,-37.21136,145.05619,0,0,67.33985833546852
330,Broadmeadows,3047,26404,11970.0,-37.67998,144.9317,1,1,14.96414920462463
331,Broadwater,3301,14,92.0,-38.11903,142.06874,0,0,255.9303325987695
332,Brodribb River,3888,24,31.0,-37.69763,148.60102,0,0,320.1319432191674
333,Broken Creek,3673,5,39.0,-36.43478,145.89035,0,0,173.877902268961
334,Bromley,3472,16,56.0,-36.887,143.7864,0,0,146.25547890582678
335,Brookfield,3338,3493,9216.0,-37.70129,144.5408,0,0,39.05843824012273
336,Brooklyn,3012,2747,1856.0,-37.81401,144.84097,0,0,10.65902421862062
337,Brookville,3896,5,5.0,-37.35185,147.66911000000005,0,0,243.9491912288915
338,Broomfield,3364,40,228.0,-37.38471,143.90859,0,0,104.30120445044689
339,Broughton,3418,3,145.0,-36.15151,141.32889,0,0,371.7977808675189
340,Brown Hill,3350,1156,3582.0,-37.54722,143.90698999999995,0,0,97.43745086331307
341,Browns Plains,3685,30,102.0,-36.03802,146.61914,0,0,246.19640641095407
342,Bruarong,3749,21,77.0,-36.42053,146.86774,0,0,229.11205490426218
343,Brucknell,3268,12,116.0,-38.45585,142.89663000000004,0,0,194.31455093174162
344,Brunswick,3056,22489,24473.0,-37.76678,144.96276,1,0,5.068892367314477
345,Brunswick West,3055,7427,14159.0,-37.76448,144.94029,0,0,5.664590987879882
346,Bruthen,3885,267,814.0,-37.70768,147.86185,0,0,255.15205319531947
347,Buangor,3375,94,103.0,-37.36941,143.16449,0,0,165.88068531034193
348,Buchan,3885,107,236.0,-37.42351,148.16582,0,0,285.43712428139435
349,Buchan South,3885,26,82.0,-37.54706,148.10291999999995,0,0,277.9447052922731
350,Buckland,3740,31,135.0,-36.85632,146.88705,0,0,200.64142890520822
351,Buckley,3240,35,211.0,-38.21915,144.0916,0,0,88.67856145643768
352,Buckley Swamp,3301,2,25.0,-37.85651,142.08857,0,0,252.40860893492837
353,Buckrabanyule,3525,17,51.0,-36.26592,143.53395,0,0,213.63207942767036
354,Budgeree,3870,29,147.0,-38.4194,146.36526,0,0,140.07138167286246
355,Budgerum East,3579,4,5.0,-35.77117,143.65256000000005,0,0,255.1733715415895
356,Buffalo,3958,52,272.0,-38.67656,146.02078999999995,0,0,133.33584239417655
357,Buffalo River,3737,60,255.0,-36.65501,146.64824,0,0,197.07082533860515
358,Bulart,3314,10,93.0,-37.58452,141.91117,0,0,269.62392657329735
359,Buldah,3890,1,8.0,-37.2384,149.12433,0,0,372.5110372667144
360,Bulga,3586,5,3.0,-35.30452000000001,143.35101,0,0,313.79130670175266
361,Bulgana,3377,8,37.0,-37.13624,142.99497,0,0,189.1846435294018
362,Bulla,3428,596,675.0,-37.62971,144.79817,0,0,24.91745869975783
363,Bullaharre,3266,2,17.0,-38.34919,143.14633,0,0,169.77947681435745
364,Bullarook,3352,51,99.0,-37.51128,144.00465,0,0,90.70091990837324
365,Bullarto,3461,14,73.0,-37.38981,144.22063,0,0,80.47786693235845
366,Bullarto South,3461,9,33.0,-37.42404000000001,144.22113000000004,0,0,78.26743452099892
367,Bulleen,3105,3455,10873.0,-37.76699,145.08593,0,0,11.978995156144027
368,Bullengarook,3437,193,645.0,-37.48064,144.50411,0,0,54.6613547533468
369,Bullioh,3700,8,75.0,-36.17568,147.35928,0,0,280.0494274783091
370,Bullumwaal,3875,20,33.0,-37.6421,147.59112,0,0,231.96562872939614
371,Buln Buln,3821,97,548.0,-38.0927,145.9557,0,0,92.51092148208511
372,Buln Buln East,3821,30,164.0,-38.07208,146.00995,0,0,96.30254083201545
373,Bumberrah,3902,33,80.0,-37.79244,147.83184,0,0,252.11378691276673
