Suburb/Town Name,Postcode,Incidents Recorded,population,lat,lng
Waranga Shores,3612,111,315.0,-36.55287,145.0892
Waratah Bay,3959,13,56.0,-38.799659999999996,146.05591
Warburton,3799,929,2012.0,-37.73452,145.70883
Wareek,3465,20,68.0,-36.99093,143.61446
Wargan,3505,39,71.0,-34.183840000000004,141.84666
Warncoort,3243,37,130.0,-38.313829999999996,143.72206
Warneet,3980,158,536.0,-38.22903,145.30058
Warrabkook,3286,2,34.0,-37.97935,142.06398000000002
Warracknabeal,3393,1437,2438.0,-36.23138,142.42091000000002
Warragul,3820,11318,15757.0,-38.14933,145.93103
Warragul South,3821,28,253.0,-38.21375,145.91243
Warragul West,3821,12,19.0,-38.170790000000004,145.88284
Warrak,3377,39,66.0,-37.287409999999994,143.12267
Warrandyte,3113,1321,5502.0,-37.751059999999995,145.21011000000001
Warrandyte South,3134,102,671.0,-37.75853,145.24405
Warranwood,3134,506,4807.0,-37.77302,145.25052
Warrayure,3301,7,24.0,-37.71337,142.17379
Warrenbayne,3670,30,145.0,-36.70715,145.89003
Warrenheip,3352,730,669.0,-37.57635,143.92663000000002
Warrenmang,3478,3,17.0,-37.07569,143.30473
Warrion,3249,30,198.0,-38.22955,143.55288000000002
Warrnambool,3280,22384,29661.0,-38.36979,142.49677
Warrock,3312,2,28.0,-37.43057,141.2905
Warrong,3283,9,72.0,-38.197140000000005,142.31118999999998
Wartook,3401,29,84.0,-37.00359,142.39112
Watchem,3482,75,114.0,-36.149370000000005,142.87418
Watchem West,3482,3,18.0,-36.195029999999996,142.75935
Watchupga,3485,8,41.0,-35.77412,142.69069
Waterford Park,3658,82,193.0,-37.30045,145.0664
Waterholes,3875,7,11.0,-37.64687,147.6975
Waterloo,3373,69,110.0,-37.353590000000004,143.43106
Waterways,3195,474,2461.0,-38.01532,145.13013999999998
Watsonia,3087,3705,5214.0,-37.70997,145.08533
Watsonia North,3087,876,3814.0,-37.69549,145.08481
Watsons Creek,3097,9,51.0,-37.6613,145.26167
Wattle Bank,3995,35,177.0,-38.575140000000005,145.70756
Wattle Creek,3384,1,0.0,-36.96298,143.08193
Wattle Flat,3352,28,97.0,-37.48122,143.94349
Wattle Glen,3096,381,1961.0,-37.66992,145.1887
Wattle Hill,3237,3,6.0,-38.75287,143.25527
Waubra,3352,122,275.0,-37.33522,143.6194
Waurn Ponds,3216,1809,5046.0,-38.19813,144.27924
Waygara,3888,6,27.0,-37.76402,148.32023999999998
Weatherboard,3352,7,51.0,-37.43318,143.67461
Wedderburn,3518,700,941.0,-36.42488,143.59892
Wedderburn Junction,3518,8,20.0,-36.43051,143.70352
Wee Wee Rup,3568,6,35.0,-35.861779999999996,144.29126000000002
Weeaproinah,3237,1,11.0,-38.63157,143.49614
Weering,3251,12,67.0,-38.09395,143.69111
Weerite,3260,16,117.0,-38.22122,143.26187
Wehla,3518,12,39.0,-36.6112,143.62323999999998
Wellsford,3551,84,126.0,-36.7236,144.37683
Welshmans Reef,3462,27,233.0,-37.06559,144.02993
Welshpool,3966,98,331.0,-38.66799,146.43906
Wemen,3549,41,111.0,-34.80431,142.67263
Wendouree,3355,11897,10445.0,-37.5309,143.82592
Wensleydale,3241,20,107.0,-38.373509999999996,144.0517
Werneth,3352,44,60.0,-37.93445,143.60083
Werona,3364,5,46.0,-37.2386,144.02317
Werribee,3030,32348,40345.0,-37.90788,144.64562
Werribee South,3030,1550,1768.0,-37.94332,144.70014
Werrimull,3496,42,112.0,-34.4118,141.56295
Wesburn,3799,316,1019.0,-37.76717,145.66509
West Bendigo,3550,330,375.0,-36.751529999999995,144.24908
West Creek,3992,18,109.0,-38.55498,145.59992
West Footscray,3012,5728,11450.0,-37.8016,144.87306
West Melbourne,3003,7810,5515.0,-37.810759999999995,144.93095
West Wodonga,3690,6749,14576.0,-36.10089,146.8211
Westbury,3825,34,157.0,-38.14423,146.21999
Westby,3579,3,26.0,-35.639920000000004,143.96953
Westmeadows,3049,3491,5848.0,-37.675940000000004,144.89421000000002
Westmere,3351,24,40.0,-37.67937,142.97191
Whanregarwen,3714,14,100.0,-37.22203,145.62295
Wharparilla,3564,73,488.0,-36.08055,144.63153
Wheatsheaf,3461,42,241.0,-37.33725,144.24342
Wheelers Hill,3150,4957,19753.0,-37.90733,145.18438
Whipstick,3556,25,10.0,-36.652029999999996,144.27098999999998
Whirily,3483,4,30.0,-35.92263,142.9996
White Hills,3550,1681,3219.0,-36.72392,144.30268
Whiteheads Creek,3660,116,348.0,-37.0517,145.2606
Whitelaw,3950,5,29.0,-38.43508,145.77778999999998
Whitfield,3733,58,215.0,-36.753609999999995,146.41704
Whitlands,3678,12,35.0,-36.81129,146.34552
Whittington,3219,3756,3879.0,-38.17672,144.39228
Whittlesea,3757,2849,5611.0,-37.467420000000004,145.14395
Whoorel,3243,4,18.0,-38.3713,143.83424
Whorouly,3735,71,376.0,-36.519090000000006,146.58404
Whorouly East,3735,11,82.0,-36.54269,146.63689
Whorouly South,3735,4,51.0,-36.59239,146.60384
Whroo,3612,59,42.0,-36.68807,145.05488
Wickliffe,3379,28,113.0,-37.70684,142.7043
Wilby,3728,61,166.0,-36.147690000000004,146.05803
Wild Dog Valley,3953,24,62.0,-38.37,145.94468999999998
Wildwood,3429,145,216.0,-37.56475,144.80074
Willangie,3485,1,35.0,-35.720079999999996,142.81791
Willatook,3283,7,55.0,-38.15144,142.23003
Willaura,3379,141,530.0,-37.52498,142.68933
Willaura North,3379,4,30.0,-37.38824,142.74274
Willenabrina,3393,2,9.0,-36.052479999999996,142.22565
Williams Landing,3027,3059,6646.0,-37.86309,144.74421999999998
Williamstown,3016,8488,13969.0,-37.86101,144.88365
Williamstown North,3016,1283,1593.0,-37.85287,144.87096
Willow Grove,3825,174,590.0,-38.07732,146.16188
Willowmavin,3764,38,216.0,-37.249140000000004,144.87437
Willowvale,3360,2,7.0,-37.854620000000004,143.46553
Willung,3847,24,69.0,-38.26563,146.84101
Willung South,3847,36,138.0,-38.32297,146.84609
Wilsons Hill,3515,7,77.0,-36.7307,144.09063999999998
Wilsons Promontory,3960,107,13.0,-38.96855,146.4389
Wimbledon Heights,3922,131,373.0,-38.4802,145.23415
Winchelsea,3241,1047,1954.0,-38.23356,143.94812
Winchelsea South,3241,19,179.0,-38.32246,143.98296000000002
Windermere,3352,67,97.0,-37.48532,143.72258
